2022-11-05 12:25:13,921 INFO    MainThread:138651 [wandb_setup.py:_flush():68] Configure stats pid to 138651
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_setup.py:_flush():68] Loading settings from /home/alex/.config/wandb/settings
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_setup.py:_flush():68] Loading settings from /home/alex/pygame pointcloud/object_detection/wandb/settings
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'object_detection/train.py', 'program': '/home/alex/pygame pointcloud/object_detection/train.py'}
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_init.py:_log_setup():476] Logging user logs to /home/alex/pygame pointcloud/object_detection/wandb/run-20221105_122513-1nlbmqr6/logs/debug.log
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_init.py:_log_setup():477] Logging internal logs to /home/alex/pygame pointcloud/object_detection/wandb/run-20221105_122513-1nlbmqr6/logs/debug-internal.log
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_init.py:init():516] calling init triggers
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_init.py:init():569] starting backend
2022-11-05 12:25:13,922 INFO    MainThread:138651 [wandb_init.py:init():573] setting up manager
2022-11-05 12:25:13,924 INFO    MainThread:138651 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-05 12:25:13,927 INFO    MainThread:138651 [wandb_init.py:init():580] backend started and connected
2022-11-05 12:25:13,930 INFO    MainThread:138651 [wandb_init.py:init():658] updated telemetry
2022-11-05 12:25:13,949 INFO    MainThread:138651 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-05 12:25:14,415 INFO    MainThread:138651 [wandb_run.py:_on_init():2000] communicating current version
2022-11-05 12:25:14,568 INFO    MainThread:138651 [wandb_run.py:_on_init():2004] got version response 
2022-11-05 12:25:14,569 INFO    MainThread:138651 [wandb_init.py:init():728] starting run threads in backend
2022-11-05 12:25:14,639 INFO    MainThread:138651 [wandb_run.py:_console_start():1980] atexit reg
2022-11-05 12:25:14,639 INFO    MainThread:138651 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-05 12:25:14,639 INFO    MainThread:138651 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-05 12:25:14,639 INFO    MainThread:138651 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-05 12:25:14,640 INFO    MainThread:138651 [wandb_init.py:init():765] run started, returning control to user process
2022-11-05 12:25:24,113 WARNING MsgRouterThr:138651 [router.py:message_loop():77] message_loop has been closed
