2022-11-05 12:32:30,705 INFO    MainThread:145538 [wandb_setup.py:_flush():68] Configure stats pid to 145538
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_setup.py:_flush():68] Loading settings from /home/alex/.config/wandb/settings
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_setup.py:_flush():68] Loading settings from /home/alex/pygame pointcloud/object_detection/wandb/settings
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'object_detection/train.py', 'program': '/home/alex/pygame pointcloud/object_detection/train.py'}
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_init.py:_log_setup():476] Logging user logs to /home/alex/pygame pointcloud/object_detection/wandb/run-20221105_123230-yw37zk04/logs/debug.log
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_init.py:_log_setup():477] Logging internal logs to /home/alex/pygame pointcloud/object_detection/wandb/run-20221105_123230-yw37zk04/logs/debug-internal.log
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_init.py:init():516] calling init triggers
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_init.py:init():519] wandb.init called with sweep_config: {}
config: {}
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_init.py:init():569] starting backend
2022-11-05 12:32:30,706 INFO    MainThread:145538 [wandb_init.py:init():573] setting up manager
2022-11-05 12:32:30,708 INFO    MainThread:145538 [backend.py:_multiprocessing_setup():102] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-11-05 12:32:30,710 INFO    MainThread:145538 [wandb_init.py:init():580] backend started and connected
2022-11-05 12:32:30,713 INFO    MainThread:145538 [wandb_init.py:init():658] updated telemetry
2022-11-05 12:32:30,732 INFO    MainThread:145538 [wandb_init.py:init():693] communicating run to backend with 60 second timeout
2022-11-05 12:32:31,141 INFO    MainThread:145538 [wandb_run.py:_on_init():2000] communicating current version
2022-11-05 12:32:31,307 INFO    MainThread:145538 [wandb_run.py:_on_init():2004] got version response 
2022-11-05 12:32:31,307 INFO    MainThread:145538 [wandb_init.py:init():728] starting run threads in backend
2022-11-05 12:32:31,399 INFO    MainThread:145538 [wandb_run.py:_console_start():1980] atexit reg
2022-11-05 12:32:31,400 INFO    MainThread:145538 [wandb_run.py:_redirect():1838] redirect: SettingsConsole.WRAP_RAW
2022-11-05 12:32:31,400 INFO    MainThread:145538 [wandb_run.py:_redirect():1903] Wrapping output streams.
2022-11-05 12:32:31,400 INFO    MainThread:145538 [wandb_run.py:_redirect():1925] Redirects installed.
2022-11-05 12:32:31,401 INFO    MainThread:145538 [wandb_init.py:init():765] run started, returning control to user process
2022-11-05 12:32:33,219 INFO    MainThread:145538 [wandb_watch.py:watch():51] Watching
